Name,Nickname,Wins,Losses,Draws,Height_cm,Weight_lbs,Reach_cm,DOB,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,URL,Stance
Saad Awad,Assassin,20,9,0,180.3,155.0,,"Jun 07, 1983",2.13,0.26,1.87,0.6,0.5,0.16,1.0,0.5,http://www.ufcstats.com/fighter-details/da603332ad41f165,
Nick Agallar,,24,6,0,172.7,155.0,,"Jan 13, 1979",0.69,0.11,4.56,0.42,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/ebc5af72ad5a28cb,Orthodox
Irina Alekseeva,Russian Ronda,5,4,0,172.7,135.0,170.2,"Jun 27, 1990",3.42,0.38,5.02,0.45,0.38,0.2,0.5,0.4,http://www.ufcstats.com/fighter-details/103e2e33a60683e1,Orthodox
Art Arciniega,King Arthur,15,7,0,172.7,145.0,,"Oct 15, 1981",1.53,0.46,2.73,0.51,0.0,0.0,0.5,1.0,http://www.ufcstats.com/fighter-details/d25e39e74efb0a77,
Bruno Assis,Brunao,8,4,0,188.0,185.0,,"May 23, 1992",1.27,0.43,3.2,0.36,2.0,0.5,0.66,1.0,http://www.ufcstats.com/fighter-details/ff222167cce02919,Orthodox
Royce Alger,,3,2,0,177.8,199.0,,"Mar 06, 1965",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/669a3cb6e394f515,Orthodox
Julius Anglickas,,5,1,0,190.5,205.0,,"Jul 23, 1991",4.62,0.78,1.86,0.5,4.47,0.5,0.6,1.1,http://www.ufcstats.com/fighter-details/e20ad078a7d63361,Orthodox
Jaqueline Amorim,,10,2,0,160.0,115.0,172.7,"Jun 24, 1995",2.43,0.5,2.16,0.54,2.16,0.36,0.0,3.8,http://www.ufcstats.com/fighter-details/bc7d1ad49fcb2d08,Orthodox
Felipe Arantes,Sertanejo,18,10,1,172.7,135.0,185.4,"Feb 09, 1988",2.37,0.45,2.66,0.64,0.93,0.47,0.41,0.7,http://www.ufcstats.com/fighter-details/71002dbc1743b9a7,Orthodox
Bazigit Atajev,Volk,17,1,0,185.4,230.0,,"Mar 12, 1979",0.87,0.41,3.14,0.49,1.0,0.33,0.0,0.0,http://www.ufcstats.com/fighter-details/fd7acf42bd6e7e95,Orthodox
Darion Abbey,,9,5,0,188.0,265.0,203.2,"Feb 25, 1993",8.44,0.5,14.06,0.28,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/4961467134abd8be,Orthodox
Talita Alencar,Problem Child,7,1,1,154.9,115.0,147.3,"Oct 17, 1990",2.91,0.37,3.36,0.55,3.02,0.26,0.66,0.6,http://www.ufcstats.com/fighter-details/d35298b6df168456,Orthodox
Gabriel Arges,,0,0,0,,170.0,,"Jan 29, 1993",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/db3c4a884d704efe,
Josh Appelt,,15,7,0,177.8,255.0,,"Jun 19, 1983",1.35,0.4,11.5,0.32,0.0,0.0,0.33,0.0,http://www.ufcstats.com/fighter-details/0c1a04afca64e38f,Southpaw
Mike Altman,,1,4,0,177.8,185.0,,,1.56,0.2,2.08,0.75,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/c11036da9162cb5f,Orthodox
Khusein Askhabov,Nohcho,23,1,0,172.7,145.0,175.3,"Feb 13, 1995",2.0,0.26,4.13,0.56,0.0,0.0,0.66,0.0,http://www.ufcstats.com/fighter-details/5c10da56d712ac9c,Orthodox
Juan Alcain,,1,2,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/39f62b833e4cf126,
Adam Antolin,Captain Chaos,12,3,0,165.1,125.0,160.0,"Feb 28, 1982",5.73,0.52,5.0,0.69,0.0,0.0,1.0,0.0,http://www.ufcstats.com/fighter-details/25b31165758402dd,Orthodox
Andy Anderson,The Hammer,0,1,0,167.6,240.0,,"Jul 16, 1974",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/9199e0735b83dd32,
Leon Aliu,The Albanian Lion,10,2,0,182.9,185.0,188.0,"Jul 14, 1989",6.32,0.5,10.11,0.38,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/6db394bf6c3b017c,Orthodox
Ildemar Alcantara,Marajo,21,11,0,188.0,185.0,198.1,"Nov 18, 1982",1.93,0.38,2.63,0.5,2.0,0.68,0.81,0.9,http://www.ufcstats.com/fighter-details/7c6e87729e824ef4,Orthodox
Vanilto Antunes,,16,7,0,182.9,170.0,182.9,"Dec 28, 1994",5.49,0.48,14.27,0.43,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/cc49ada1ea955b13,Orthodox
Daniel Allen,,5,0,0,182.9,155.0,190.5,"Aug 10, 1992",7.6,0.51,5.87,0.53,2.0,0.66,1.0,0.0,http://www.ufcstats.com/fighter-details/adf9a901308fb8e3,Southpaw
Matt Andersen,,14,8,1,188.0,230.0,,"May 29, 1971",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/8738eacd62e82a32,Southpaw
Kenneth Alexander,The Machine,7,6,0,175.3,155.0,,"Sep 25, 1977",0.88,0.19,2.2,0.66,4.71,0.26,0.0,0.0,http://www.ufcstats.com/fighter-details/8fd76e1b49c00ae2,Orthodox
Levi Avera,,18,15,0,185.4,170.0,,"May 17, 1982",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/ba5c6eeb8ef45f5c,
Jessica Andrade,Bate Estaca,26,15,0,154.9,115.0,157.5,"Sep 25, 1991",6.37,0.48,5.58,0.54,2.1,0.54,0.75,0.3,http://www.ufcstats.com/fighter-details/6a1901c62ab3870f,Orthodox
Alfonso Alcarez,,1,3,1,160.0,145.0,,"Jun 10, 1970",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/1e38bba6738b7b10,
Arnold Allen,Almighty,20,4,0,172.7,145.0,177.8,"Jan 22, 1994",3.47,0.42,3.04,0.6,0.86,0.47,0.71,0.3,http://www.ufcstats.com/fighter-details/040a74bb0a465c54,Southpaw
Tom Aaron,,5,3,0,,155.0,,"Jul 13, 1978",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/93fe7332d16c6ad9,
Mauricio Alonso,,13,7,0,188.0,170.0,,"Feb 27, 1980",5.74,0.34,1.91,0.67,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/c6bf75775b278ed8,
Ben Askren,Funky,19,2,0,180.3,170.0,185.4,"Jul 18, 1984",3.64,0.49,5.66,0.36,4.33,0.55,0.0,0.9,http://www.ufcstats.com/fighter-details/0b31f87be71ebbb1,Orthodox
Sam Adkins,The Experience,7,20,2,190.5,225.0,,"Apr 26, 1965",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/0e9869d712e81f8f,Orthodox
Bill Algeo,Senor Perfecto,18,9,0,182.9,145.0,185.4,"Jun 09, 1989",5.88,0.51,4.38,0.47,1.03,0.5,0.55,0.1,http://www.ufcstats.com/fighter-details/9abc648e76c4493a,Switch
Hector Aldana,,4,3,0,180.3,170.0,182.9,"Aug 17, 1988",3.59,0.38,5.08,0.59,0.93,1.0,0.0,0.0,http://www.ufcstats.com/fighter-details/c487223b0289bda9,Orthodox
John Albert,Prince,6,5,0,172.7,135.0,172.7,"Oct 13, 1986",3.05,0.49,2.82,0.35,0.0,0.0,0.5,6.1,http://www.ufcstats.com/fighter-details/7bd94b60d7521e4a,Orthodox
Irene Aldana,,15,8,0,175.3,135.0,172.7,"Mar 26, 1988",5.19,0.39,6.64,0.56,0.15,0.5,0.77,0.2,http://www.ufcstats.com/fighter-details/578ef12674df1e6a,Orthodox
Jin Aoi,,14,6,1,167.6,145.0,172.7,"Jan 21, 1997",1.6,0.29,5.8,0.51,0.0,0.0,0.71,0.0,http://www.ufcstats.com/fighter-details/031da10a00c8ccd4,Orthodox
Chalid Arrab,Die Faust,7,3,0,180.3,205.0,,"May 28, 1975",1.56,0.34,1.63,0.56,3.05,0.75,0.37,1.0,http://www.ufcstats.com/fighter-details/770b9d4813c25902,Orthodox
Danny Abbadi,The Assassin,4,6,0,180.3,155.0,,"Jul 03, 1983",3.29,0.38,4.41,0.57,0.0,0.0,0.77,0.0,http://www.ufcstats.com/fighter-details/15df64c02b6b0fde,Orthodox
Estefani Almeida,,7,3,0,162.6,125.0,,"Oct 17, 1988",3.13,0.37,6.07,0.42,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/f16ddfa31236efed,Orthodox
Matt Arroyo,No Regard,3,3,0,177.8,170.0,182.9,"Sep 01, 1982",1.62,0.47,2.01,0.58,2.12,0.36,1.0,5.3,http://www.ufcstats.com/fighter-details/de62052b2ede65ba,Orthodox
Kenji Arai,,15,15,5,177.8,145.0,,"Oct 05, 1979",8.79,0.27,10.29,0.39,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/269d103c96a4c3a5,Southpaw
Julio Arce,,19,6,0,170.2,145.0,177.8,"Oct 27, 1989",4.36,0.36,3.05,0.68,0.46,0.28,0.96,0.3,http://www.ufcstats.com/fighter-details/1291edf2d566a71a,Southpaw
Tatsuya Ando,Kirinji,14,4,1,162.6,145.0,172.7,"Apr 26, 1990",0.93,0.19,4.93,0.5,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/17615148dd4be6f6,Southpaw
Iuri Alcantara,Marajo,35,10,0,175.3,135.0,180.3,"Aug 04, 1980",2.72,0.45,2.79,0.49,1.44,0.62,0.6,0.8,http://www.ufcstats.com/fighter-details/2f95a3c6d58b2aad,Southpaw
Warlley Alves,,15,8,0,180.3,185.0,182.9,"Jan 04, 1991",3.04,0.48,3.95,0.5,1.22,0.5,0.62,0.8,http://www.ufcstats.com/fighter-details/d317a5e2b3f88c5f,Orthodox
Viscardi Andrade,,19,6,0,180.3,170.0,190.5,"Mar 08, 1984",3.26,0.42,2.77,0.63,1.93,0.5,0.66,0.3,http://www.ufcstats.com/fighter-details/d221ee27afc7a60e,Orthodox
John Adajar,The Outlaw,6,2,0,175.3,170.0,190.5,"Jun 22, 1991",3.9,0.52,6.28,0.44,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/989b85f6540c86b1,Orthodox
Hamdy Abdelwahab,The Hammer,7,1,0,188.0,265.0,182.9,"Jan 22, 1993",4.27,0.55,3.67,0.51,3.25,0.65,1.0,0.0,http://www.ufcstats.com/fighter-details/3329d692aea4dc28,Southpaw
Patricia Alujas,The Angel,9,3,0,162.6,115.0,162.6,"May 08, 1996",5.83,0.31,9.25,0.44,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/430c533614d45813,Orthodox
Junior Albini,Baby,14,6,0,190.5,264.0,188.0,"Mar 15, 1991",3.98,0.51,6.08,0.52,1.54,0.37,1.0,0.0,http://www.ufcstats.com/fighter-details/c482c8605455a213,Orthodox
Mike Aina,Iron,14,6,1,175.3,155.0,,"Dec 25, 1980",2.87,0.33,6.33,0.59,0.0,0.0,0.71,0.0,http://www.ufcstats.com/fighter-details/9e3dbb9c68ed5d1a,Orthodox
Joey Armstrong,,5,2,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/30ad2050273d016a,
Nariman Abbasov,Bayraktar,28,4,0,172.7,155.0,167.6,"Feb 01, 1994",3.0,0.2,5.67,0.46,0.0,0.0,0.66,0.0,http://www.ufcstats.com/fighter-details/59a9d6dac61c2540,Orthodox
Jailton Almeida,Malhadinho,22,5,0,190.5,225.0,200.7,"Jun 26, 1991",2.23,0.62,1.3,0.43,5.64,0.55,0.6,1.7,http://www.ufcstats.com/fighter-details/41e83a89929d1327,Orthodox
Angelo Antonio,,1,4,0,,205.0,,"Oct 04, 1998",1.09,0.5,7.64,0.5,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/dbd198f780286aca,Orthodox
Mostapha Al-Turk,,6,6,0,188.0,245.0,195.6,"Jul 14, 1973",1.36,0.19,3.61,0.53,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/1cf1310684a841f5,Orthodox
Rostem Akman,,6,2,0,177.8,170.0,182.9,"Dec 19, 1991",1.8,0.25,3.97,0.57,1.0,0.4,0.87,0.0,http://www.ufcstats.com/fighter-details/1fc64507a0cb38cf,Switch
JJ Aldrich,,14,7,0,165.1,125.0,170.2,"Sep 29, 1992",3.96,0.47,4.32,0.61,0.75,0.26,0.67,0.0,http://www.ufcstats.com/fighter-details/6fd953151d981979,Southpaw
Marcio Alexandre Junior,Lyoto,17,4,0,182.9,185.0,190.5,"May 05, 1989",1.61,0.45,2.89,0.42,0.35,0.2,0.66,0.7,http://www.ufcstats.com/fighter-details/d53482bef23235ba,Southpaw
John Alessio,The Natural,35,17,0,177.8,155.0,182.9,"Jul 05, 1979",2.1,0.39,2.91,0.54,1.85,0.38,0.7,1.2,http://www.ufcstats.com/fighter-details/7a15f3694c5cbc02,Orthodox
Yanal Ashmouz,Red Fox,8,2,0,175.3,155.0,175.3,"Mar 31, 1995",2.88,0.5,4.78,0.5,3.24,0.38,0.64,0.0,http://www.ufcstats.com/fighter-details/c739c2995a275314,Orthodox
Mariya Agapova,Money Mashka,10,5,0,167.6,125.0,172.7,"Apr 07, 1997",4.43,0.54,3.62,0.52,0.55,0.66,0.45,0.8,http://www.ufcstats.com/fighter-details/a08ddd04eaffd81d,Southpaw
Hunter Azure,,9,2,0,172.7,145.0,175.3,"Mar 02, 1992",3.92,0.53,2.08,0.58,1.97,0.34,0.67,1.3,http://www.ufcstats.com/fighter-details/2af2f2e26c4c0402,Orthodox
Joel Alvarez,El Fenomeno,23,3,0,190.5,155.0,195.6,"Mar 02, 1993",4.78,0.55,3.07,0.54,0.19,0.33,0.47,1.1,http://www.ufcstats.com/fighter-details/58bbef3770bb2dfc,Orthodox
Papy Abedi,Makambo,10,4,0,180.3,185.0,,"Jun 30, 1978",2.8,0.55,3.15,0.48,3.47,0.57,0.5,1.3,http://www.ufcstats.com/fighter-details/c9f6385af6df66d7,Southpaw
Junior Assuncao,,16,6,0,175.3,145.0,182.9,"Jun 24, 1981",3.31,0.62,2.06,0.44,2.43,0.24,0.66,0.7,http://www.ufcstats.com/fighter-details/d0d7160824278840,Orthodox
Julia Avila,Raging Panda,9,4,0,170.2,135.0,172.7,"May 11, 1988",2.81,0.42,3.28,0.55,0.63,0.37,0.52,0.2,http://www.ufcstats.com/fighter-details/86d9dbe1bfcbade7,Orthodox
Ricardo Abreu,Demente,5,1,0,180.3,185.0,,"Apr 27, 1984",3.79,0.31,3.98,0.68,2.13,0.42,1.0,0.7,http://www.ufcstats.com/fighter-details/aa6e591c2a2cdecd,Orthodox
Bekzat Almakhan,The Turan Warrior,12,3,0,170.2,135.0,172.7,"Oct 08, 1997",1.61,0.34,3.73,0.36,0.0,0.0,0.41,0.0,http://www.ufcstats.com/fighter-details/a4dc0f2b95df4cc1,Orthodox
Israel Adesanya,The Last Stylebender,24,5,0,193.0,185.0,203.2,"Jul 22, 1989",4.02,0.48,3.2,0.55,0.05,0.11,0.76,0.1,http://www.ufcstats.com/fighter-details/1338e2c7480bdf9e,Switch
Hashem Arkhagha,,6,1,0,188.0,185.0,190.5,"Sep 11, 1989",1.84,0.44,8.97,0.43,0.0,0.0,0.5,0.0,http://www.ufcstats.com/fighter-details/9a7ffa80766caa51,Orthodox
Kevin Aguilar,Angel of Death,17,5,0,170.2,155.0,185.4,"Sep 07, 1988",3.96,0.4,4.81,0.52,0.16,0.16,0.78,0.0,http://www.ufcstats.com/fighter-details/cf946e03ba2e7666,Orthodox
Raphael Assuncao,,28,10,0,165.1,135.0,167.6,"Jul 19, 1982",3.22,0.42,2.5,0.66,1.65,0.39,0.78,0.2,http://www.ufcstats.com/fighter-details/2f13e4020cea5b38,Orthodox
Chris Avila,,5,4,0,177.8,145.0,,"Jan 16, 1993",2.37,0.3,4.17,0.48,0.0,0.0,0.46,0.0,http://www.ufcstats.com/fighter-details/4665cbf36b08193b,Orthodox
Jessin Ayari,,16,6,0,182.9,155.0,185.4,"May 31, 1992",3.53,0.37,3.59,0.58,0.0,0.0,0.5,0.3,http://www.ufcstats.com/fighter-details/6eaec40f724852f4,Orthodox
JJ Ambrose,,28,7,0,177.8,170.0,,"Feb 06, 1987",3.16,0.69,6.32,0.33,0.0,0.0,0.5,0.0,http://www.ufcstats.com/fighter-details/d562b12b8fe88336,Orthodox
Thiago Alves,Pitbull,23,15,0,175.3,170.0,177.8,"Oct 03, 1983",3.73,0.41,3.42,0.62,0.71,0.6,0.63,0.3,http://www.ufcstats.com/fighter-details/31ee470ef5dc8d7f,Orthodox
Dylan Andrews,The Villain,18,7,0,185.4,185.0,188.0,"Nov 15, 1979",2.21,0.5,2.72,0.46,2.83,0.5,0.57,0.4,http://www.ufcstats.com/fighter-details/00debc804e2b1cd4,Switch
Wes Albritton,,0,1,0,177.8,188.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/184b955181bdef52,Orthodox
Alatengheili,The Mongolian Knight,17,10,2,165.1,135.0,167.6,"Dec 14, 1991",2.82,0.32,5.12,0.57,1.74,0.43,0.75,0.0,http://www.ufcstats.com/fighter-details/1897b7b913736a7c,Orthodox
