Name,Nickname,Wins,Losses,Draws,Height_cm,Weight_lbs,Reach_cm,DOB,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,URL,Stance
AJ Cunningham,The Savage,11,5,0,177.8,135.0,180.3,"Sep 07, 1994",4.22,0.29,6.31,0.48,0.0,0.0,0.46,0.5,http://www.ufcstats.com/fighter-details/d1053e55f00e53fe,Orthodox
AJ Dobson,,7,3,0,185.4,185.0,193.0,"Jan 18, 1992",4.29,0.46,5.31,0.46,1.67,0.75,0.65,0.3,http://www.ufcstats.com/fighter-details/009c4420727149ea,Orthodox
AJ Fletcher,The Ghost,10,3,0,177.8,170.0,170.2,"Feb 18, 1997",3.36,0.49,4.61,0.46,1.54,0.35,0.33,0.9,http://www.ufcstats.com/fighter-details/725b1abc9a39d873,Switch
AJ Fonseca,,5,4,0,162.6,145.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/0adf1aacda5e26ac,
AJ Siscoe,Let's Go,1,2,0,170.2,135.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/fce9b4056a8ef559,
Aalon Cruz,,8,4,0,182.9,145.0,198.1,"Sep 20, 1989",7.58,0.39,8.88,0.58,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/003d82fa384ca1d0,Switch
Aaron Brink,,26,26,0,190.5,205.0,,"Nov 12, 1974",3.49,0.42,5.71,0.57,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/cf1a88371c8cb690,Orthodox
Aaron Ely,The Cyborg,5,2,0,172.7,135.0,,"Mar 18, 1989",0.82,0.15,0.66,0.69,2.47,1.0,0.5,4.9,http://www.ufcstats.com/fighter-details/1741343f0ca34dd5,
Aaron Jeffery,,10,3,0,188.0,185.0,185.4,"Nov 14, 1992",3.1,0.45,4.46,0.34,0.0,0.0,0.5,0.0,http://www.ufcstats.com/fighter-details/ccdcb20370be62a3,Orthodox
Aaron Phillips,The Dragon,12,5,0,175.3,135.0,180.3,"Aug 05, 1989",1.51,0.53,3.66,0.43,0.86,0.5,0.44,0.6,http://www.ufcstats.com/fighter-details/34c2b3656f88f7ef,Southpaw
Aaron Pico,,13,5,0,172.7,145.0,177.8,"Sep 23, 1996",3.88,0.44,2.39,0.5,8.96,0.66,0.0,0.0,http://www.ufcstats.com/fighter-details/5537efc6e496dd84,Orthodox
Aaron Riley,,30,14,1,172.7,155.0,175.3,"Dec 09, 1980",3.45,0.34,3.78,0.61,1.18,0.34,0.6,0.1,http://www.ufcstats.com/fighter-details/f2c8ebbeafd45f2b,Southpaw
Aaron Rosa,,18,6,0,193.0,205.0,195.6,"May 28, 1983",4.03,0.47,4.41,0.45,0.36,0.33,0.85,0.4,http://www.ufcstats.com/fighter-details/11f8860028b68fcf,Orthodox
Aaron Simpson,A-Train,12,5,0,182.9,170.0,185.4,"Jul 20, 1974",3.6,0.52,2.53,0.56,3.78,0.34,0.83,0.5,http://www.ufcstats.com/fighter-details/d5f820c11a121050,Orthodox
Aaron Tau,Tauzemup,11,1,0,162.6,125.0,167.6,"Aug 21, 1993",4.85,0.44,5.0,0.6,0.89,0.18,0.64,0.0,http://www.ufcstats.com/fighter-details/7abf7f8778472b7b,Switch
Aaron Trujillo,,0,1,0,165.1,125.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/cc18abc046b382c9,
