Name,Nickname,Wins,Losses,Draws,Height_cm,Weight_lbs,Reach_cm,Stance,DOB,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,URL
Yoshihiro Nakao,Kiss,9,3,0,182.9,220.0,,Southpaw,"Jun 25, 1972",1.73,0.35,2.06,0.64,2.69,0.46,0.0,0.5,http://www.ufcstats.com/fighter-details/e18012194473e8b0
Joe Neal,Nine Lives,6,2,0,167.6,135.0,,,"Jul 29, 1986",1.87,0.19,3.8,0.66,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/5751267660c734cb
Josh Neer,The Dentist,36,16,1,180.3,170.0,182.9,Orthodox,"Mar 24, 1983",3.29,0.46,3.63,0.58,1.09,0.34,0.46,1.3,http://www.ufcstats.com/fighter-details/d1a1314976c50bef
Soichi Nishida,,5,10,1,180.3,320.0,,Orthodox,"Mar 02, 1967",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/6810d8d2dd557cf9
Tom Niinimaki,Stoneface,22,8,1,175.3,145.0,175.3,Orthodox,"Jul 25, 1982",1.91,0.54,2.31,0.58,2.97,0.46,0.33,0.5,http://www.ufcstats.com/fighter-details/5fceb45939fc0c8a
KJ Noons,King,13,9,0,177.8,155.0,177.8,Orthodox,"Dec 07, 1982",3.68,0.35,3.78,0.65,0.08,0.2,0.68,0.0,http://www.ufcstats.com/fighter-details/b7ffa72aa148599a
Stanislav Nedkov,Stucky,12,2,0,180.3,205.0,180.3,Orthodox,"Dec 09, 1981",3.33,0.43,5.39,0.43,2.77,0.41,0.0,0.0,http://www.ufcstats.com/fighter-details/1d4bbaabd8b60173
Rose Namajunas,Thug,15,8,0,165.1,125.0,165.1,Orthodox,"Jun 29, 1992",3.5,0.41,3.38,0.63,1.47,0.48,0.62,0.3,http://www.ufcstats.com/fighter-details/47b63240018d5d86
Nina Nunes,,11,7,0,165.1,125.0,162.6,Orthodox,"Dec 03, 1985",4.39,0.45,3.47,0.55,0.24,0.33,0.73,0.5,http://www.ufcstats.com/fighter-details/d343df8ba11f4c4e
Bobby Nash,,8,4,0,182.9,170.0,188.0,Orthodox,"Mar 26, 1990",3.42,0.37,3.95,0.51,2.37,0.33,1.0,1.6,http://www.ufcstats.com/fighter-details/7dfb56f24fe5ddea
Pedro Nobre,The Rock,18,4,2,165.1,135.0,,,"Feb 13, 1986",1.37,0.3,9.16,0.35,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/e983c62faf677ab2
Greg Nagy,,1,3,0,185.4,210.0,,Orthodox,"Oct 18, 1983",0.41,0.5,2.69,0.37,0.0,0.0,0.0,1.2,http://www.ufcstats.com/fighter-details/342422bb6ced1e8d
Shohei Nose,,12,5,2,167.6,135.0,172.7,Switch,"Oct 19, 1997",1.52,0.37,2.17,0.52,2.23,0.17,0.14,3.6,http://www.ufcstats.com/fighter-details/6b0e83b094f816ac
Francis Ngannou,The Predator,17,3,0,193.0,250.0,210.8,Orthodox,"Sep 05, 1986",2.33,0.41,2.16,0.41,0.76,0.62,0.71,0.3,http://www.ufcstats.com/fighter-details/8d03ce87ca14e778
Tokitaka Nakanishi,Toky,12,4,0,167.6,135.0,167.6,Orthodox,"Jul 28, 1996",1.1,0.44,1.57,0.45,3.0,0.37,0.0,0.0,http://www.ufcstats.com/fighter-details/eb9446a4f44e19cf
Yamato Nishikawa,,21,3,6,170.2,155.0,,Orthodox,"Dec 06, 2002",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/7beecbe0a08cf002
Jeff Newton,,4,2,0,188.0,205.0,,Sideways,"Dec 11, 1966",0.28,0.2,1.41,0.52,0.0,0.0,0.0,8.5,http://www.ufcstats.com/fighter-details/94609dd91731d428
Geoff Neal,Handz of Steel,16,7,0,180.3,170.0,190.5,Southpaw,"Aug 28, 1990",5.05,0.51,5.48,0.57,0.54,0.45,0.87,0.1,http://www.ufcstats.com/fighter-details/b997be68943010fc
Eric Nolan,Nightime,8,4,0,188.0,185.0,188.0,Orthodox,"Sep 13, 1997",3.14,0.39,5.13,0.41,0.0,0.0,0.71,0.0,http://www.ufcstats.com/fighter-details/64b12fe31be7560c
Nick Newell,Notorious,14,2,0,177.8,155.0,,Southpaw,"Mar 17, 1986",3.53,0.46,4.07,0.36,0.0,0.0,0.33,0.0,http://www.ufcstats.com/fighter-details/f562238becb9ec50
Allan Nascimento,Puro Osso,22,6,0,172.7,125.0,175.3,Orthodox,"Sep 11, 1991",3.06,0.55,2.53,0.52,1.26,0.23,0.37,1.1,http://www.ufcstats.com/fighter-details/253076a23d03dcd0
Umar Nurmagomedov,,20,1,0,172.7,135.0,175.3,Orthodox,"Jan 03, 1996",3.86,0.56,1.86,0.61,4.03,0.46,0.79,0.2,http://www.ufcstats.com/fighter-details/2b6fc1c02736833d
Nick Nolte,,5,4,0,182.9,170.0,,,"Mar 04, 1981",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/d665de9b4da87c22
Diego Nunes,The Gun,19,7,0,167.6,145.0,170.2,Orthodox,"Nov 30, 1982",2.72,0.43,2.59,0.58,1.18,0.44,0.65,0.6,http://www.ufcstats.com/fighter-details/3a24769a4855040a
Khabib Nurmagomedov,The Eagle,29,0,0,177.8,155.0,177.8,Orthodox,"Sep 20, 1988",4.1,0.48,1.75,0.65,5.32,0.48,0.84,0.8,http://www.ufcstats.com/fighter-details/032cc3922d871c7f
Fabio Nascimento,Negao,11,6,0,177.8,185.0,,Orthodox,"Mar 18, 1981",2.94,0.38,4.63,0.55,0.0,0.0,0.55,0.8,http://www.ufcstats.com/fighter-details/307064d3e0f036c2
Shane Nelson,Sugar,16,7,0,175.3,155.0,177.8,Southpaw,"Nov 29, 1984",1.38,0.31,2.84,0.61,1.31,0.18,0.54,1.6,http://www.ufcstats.com/fighter-details/2db7fa8db6bc9632
Keiichiro Nakamura,,8,1,0,177.8,145.0,177.8,Southpaw,"Dec 02, 1998",4.48,0.41,4.28,0.63,0.0,0.0,0.78,0.0,http://www.ufcstats.com/fighter-details/3618e0632ecdba9c
Tom Nolan,Big Train,10,1,0,190.5,155.0,185.4,Southpaw,"Mar 08, 2000",5.87,0.45,4.73,0.48,0.74,0.22,0.71,1.9,http://www.ufcstats.com/fighter-details/6c3b2525436cf5d4
Yura Naito,2 FACE,6,1,0,182.9,185.0,188.0,Orthodox,"Apr 26, 1996",1.22,0.44,5.33,0.28,1.67,0.09,0.0,0.0,http://www.ufcstats.com/fighter-details/50c469e0cb73be10
Matheus Nicolau,,19,6,1,167.6,125.0,167.6,Orthodox,"Jan 06, 1993",3.31,0.51,2.98,0.65,1.22,0.43,0.9,0.8,http://www.ufcstats.com/fighter-details/1a31ef98efce7a79
Khomkrit Niimi,The Bumblebee,6,10,0,157.5,125.0,,,,0.0,0.0,5.73,0.44,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/52a003d768f10d91
Josh Neal,,5,11,0,182.9,185.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/0b534765dca35e71
Alexandre Franca Nogueira,Pequeno,18,6,3,170.2,145.0,,Orthodox,"Jan 15, 1978",0.6,0.2,4.18,0.57,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/4c27ca8c8481f79a
Pawel Nastula,,5,6,0,182.9,230.0,,Southpaw,"Jun 26, 1970",1.3,0.43,1.73,0.5,3.0,0.6,0.0,1.5,http://www.ufcstats.com/fighter-details/154a6b3ffae264cd
Steven Nguyen,The Ninja,10,2,0,180.3,145.0,185.4,Switch,"May 19, 1993",7.47,0.42,7.1,0.6,0.24,1.0,0.88,0.0,http://www.ufcstats.com/fighter-details/69037fc7730e4225
