Name,Nickname,Wins,Losses,Draws,Height_cm,Weight_lbs,Reach_cm,Stance,DOB,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,URL
Marilia Santos,Chocolate,10,3,0,162.6,125.0,,Orthodox,"Dec 12, 1992",4.4,0.54,4.07,0.53,1.0,1.0,0.66,1.0,http://www.ufcstats.com/fighter-details/4cb79988b2a9bd07
Antonio Silva,Bigfoot,19,12,1,193.0,264.0,208.3,Orthodox,"Sep 14, 1979",2.89,0.45,3.09,0.5,0.82,0.29,0.66,0.8,http://www.ufcstats.com/fighter-details/8349d55cdecd393a
Walter Smith-Cotito,,4,5,0,172.7,135.0,,,,2.95,0.36,3.53,0.68,2.16,0.33,0.57,0.0,http://www.ufcstats.com/fighter-details/625b65b45c1c6888
Kevin Syler,El Nino Bala,10,1,0,175.3,155.0,180.3,Switch,"Jul 29, 1993",5.6,0.69,4.03,0.48,1.0,0.4,0.77,2.0,http://www.ufcstats.com/fighter-details/9094a881a7513de3
Kenneth Seegrist,,4,7,0,182.9,185.0,,Orthodox,"Oct 21, 1980",3.21,0.66,1.28,0.0,0.0,0.0,0.4,14.4,http://www.ufcstats.com/fighter-details/55e94a9b525dcf45
Tatsuya Saika,Yanbo,11,5,0,182.9,155.0,185.4,Orthodox,"Sep 18, 1990",6.67,0.44,9.91,0.43,0.0,0.0,0.66,0.0,http://www.ufcstats.com/fighter-details/cc4e571964b084d4
Jacob Silva,Lil Animal,6,4,0,165.1,125.0,170.2,Orthodox,"Feb 23, 1988",4.17,0.44,4.92,0.56,1.51,1.0,0.66,0.0,http://www.ufcstats.com/fighter-details/f6f2ea21a67be3a7
Tatiana Suarez,,12,1,0,165.1,115.0,167.6,Southpaw,"Dec 19, 1990",2.95,0.6,1.58,0.45,4.41,0.43,0.8,0.6,http://www.ufcstats.com/fighter-details/b08012bbe542592a
Augusto Sakai,,16,5,1,190.5,265.0,195.6,Orthodox,"May 09, 1991",4.6,0.49,3.83,0.48,0.23,0.4,0.56,0.0,http://www.ufcstats.com/fighter-details/441eacbe20e0e80b
Ricky Simon,,22,7,0,167.6,135.0,175.3,Orthodox,"Aug 31, 1992",3.04,0.43,3.85,0.61,4.66,0.41,0.76,0.3,http://www.ufcstats.com/fighter-details/5987b2458f4b5290
Marlon Sims,,3,4,0,,170.0,,,"Jan 18, 1974",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/9eedac48b497de5a
Baisangur Susurkaev,Hunter,11,0,0,188.0,185.0,200.7,Orthodox,"Jan 08, 2001",4.56,0.59,3.78,0.53,2.76,0.28,1.0,0.7,http://www.ufcstats.com/fighter-details/d1feea7a4bdcd503
Adrian Serrano,,56,29,4,172.7,170.0,,,"Dec 23, 1963",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/e7ec11096eac0282
Amar Suloev,,24,7,0,175.3,183.0,,Orthodox,"Jul 01, 1976",1.98,0.37,2.19,0.7,0.27,1.0,0.88,0.3,http://www.ufcstats.com/fighter-details/7aa88401f93ce836
Gennaro Strangis,,0,1,0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/495add4fbede0a44
Stefan Struve,Skyscraper,33,13,0,210.8,265.0,213.4,Orthodox,"Feb 18, 1988",3.12,0.47,4.04,0.46,0.56,0.46,0.55,1.7,http://www.ufcstats.com/fighter-details/ebc1f40e00e0c481
Matt Schnell,Danger,17,10,0,172.7,125.0,177.8,Orthodox,"Jan 15, 1990",4.07,0.4,4.11,0.55,0.6,0.45,0.43,1.2,http://www.ufcstats.com/fighter-details/67c1d46f4ed16f9e
Emrah Sonmez,Anatolian Wolf,14,5,0,177.8,145.0,180.3,Orthodox,"Jun 26, 1992",1.47,0.46,1.73,0.48,5.0,0.21,0.0,0.0,http://www.ufcstats.com/fighter-details/fe759b24e344d7eb
Daniel Santos,Willycat,14,2,0,170.2,145.0,170.2,Orthodox,"Mar 12, 1995",4.76,0.4,5.03,0.51,3.01,0.4,0.73,0.0,http://www.ufcstats.com/fighter-details/b67d6bacc68d4c92
Christien Savoie,The Tiger,10,2,1,180.3,170.0,182.9,Orthodox,"Aug 29, 1992",1.39,0.45,6.95,0.23,0.0,0.0,0.12,0.0,http://www.ufcstats.com/fighter-details/67f0d1b1b0b39bec
Johnny Sampaio,,3,1,0,172.7,170.0,,Orthodox,"Sep 11, 1975",1.32,0.4,2.64,0.5,9.89,0.5,0.0,9.9,http://www.ufcstats.com/fighter-details/b23388ff8ac6637b
Pete Spratt,The Secret Weapon,25,23,0,175.3,170.0,,Orthodox,"Jan 09, 1971",1.63,0.48,1.33,0.55,0.3,1.0,0.46,0.3,http://www.ufcstats.com/fighter-details/c3ea8deeba00462b
Pete Sell,Drago,10,7,0,180.3,170.0,190.5,Orthodox,"Aug 05, 1982",2.6,0.42,3.65,0.51,0.91,0.21,0.47,0.9,http://www.ufcstats.com/fighter-details/0359313549d230a1
Ryuta Sakurai,,24,24,6,170.2,183.0,,Orthodox,"Sep 18, 1971",1.8,0.48,3.44,0.58,0.52,1.0,0.36,1.6,http://www.ufcstats.com/fighter-details/ff9578cdbfabd323
Tony Sims,,12,4,0,180.3,155.0,177.8,Southpaw,"Oct 14, 1985",1.81,0.63,0.76,0.65,0.71,0.5,0.5,0.7,http://www.ufcstats.com/fighter-details/57bad6a84230f0c9
Jin Soo Son,,9,4,0,167.6,135.0,175.3,Orthodox,"Apr 01, 1993",5.1,0.36,7.63,0.52,1.5,0.25,1.0,0.0,http://www.ufcstats.com/fighter-details/7c9c6a884be167fe
Tarec Saffiedine,Sponge,16,7,0,177.8,170.0,177.8,Switch,"Sep 06, 1986",4.05,0.47,3.06,0.62,0.52,0.36,0.84,0.1,http://www.ufcstats.com/fighter-details/0749d968e932df53
Hyeonjong Song,,8,1,0,,135.0,,,"Apr 23, 2002",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/c5dc1bf9b78f262c
Karine Silva,Killer,19,6,0,165.1,125.0,170.2,Orthodox,"Dec 02, 1993",2.48,0.39,3.04,0.48,2.3,0.5,0.21,1.5,http://www.ufcstats.com/fighter-details/9d62c2d8ee151f08
Curtis Stout,,11,12,1,185.4,185.0,,Southpaw,"Nov 07, 1973",0.69,0.67,3.2,0.29,0.0,0.0,0.2,0.0,http://www.ufcstats.com/fighter-details/e09dbbd5fe3f0fe2
Eric Steenberg,,5,1,0,,155.0,,,"Jun 22, 1983",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/377bc9dc0b2745f9
Ray Steinbeiss,Ipswitch Cobra,14,7,0,180.3,170.0,,Orthodox,"Sep 12, 1979",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/6000b5ae6c462142
Everett Sims,Sexual Chocolate,4,1,0,195.6,260.0,195.6,Southpaw,"Sep 04, 1988",0.81,0.66,2.19,0.3,0.0,0.0,0.42,1.2,http://www.ufcstats.com/fighter-details/59c6d5af765df641
Aaron Simpson,A-Train,12,5,0,182.9,170.0,185.4,Orthodox,"Jul 20, 1974",3.6,0.52,2.53,0.56,3.78,0.34,0.83,0.5,http://www.ufcstats.com/fighter-details/d5f820c11a121050
Mike Swick,Quick,15,6,0,185.4,170.0,195.6,Orthodox,"Jun 19, 1979",2.36,0.37,2.29,0.54,1.06,0.5,0.61,0.6,http://www.ufcstats.com/fighter-details/9fe85152f351e737
Jeri Sitzes,,3,1,0,165.1,125.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/44a1dd0ef4373edc
Kim In Seok,,3,6,0,167.6,145.0,,Orthodox,"Oct 10, 1980",0.87,0.37,5.19,0.6,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/88b250ba222c3a98
Cub Swanson,,30,14,0,172.7,145.0,177.8,Orthodox,"Nov 02, 1983",4.79,0.51,4.0,0.59,1.01,0.5,0.63,0.4,http://www.ufcstats.com/fighter-details/d247691a6c0e9034
Matt Sayles,,8,4,0,170.2,155.0,172.7,Orthodox,"Feb 21, 1994",4.83,0.41,2.81,0.61,0.36,0.16,0.81,0.7,http://www.ufcstats.com/fighter-details/5b8ba8f5512893b1
Lucas Stark,,1,5,0,,155.0,,,,1.6,0.25,3.2,0.66,12.0,1.0,0.0,0.0,http://www.ufcstats.com/fighter-details/93e4754d0984c82f
Samuel Sanches,The Prodigy,11,1,0,177.8,155.0,188.0,Orthodox,"Jan 28, 2003",5.95,0.75,0.0,1.0,0.0,0.0,1.0,0.0,http://www.ufcstats.com/fighter-details/438d497617ecb16e
Aji Susilo,,6,4,0,177.8,155.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/22af3546bd967280
